,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
221,224L,KANU,KANU00004869,"Richards, E.L.",703,6,18,1958,KS,Cowley County,"West end of Winfield, Along Walnut river",,37.240013,-97.013131,334,14.2,860,5,3,66.29,73.51,58.37,64.7,62.33,69.11,1.10877587,2871.54
222,225L,KANU,KANU00004905,"Stephens, Steve",56540,7,9,1972,KS,Crawford County,"3 mi N, 1 E Farlington; Crawford Co. State Park",,37.65538,-94.804471,290.6,13.6,1082,3,3,72.52,75.04,68.87,75.82,70.7,75.43,1.066902405,3555.02
223,226L,KANU,KANU00004895,"Imler (?), R.H.",s.n.,6,15,1929,KS,Dickinson County,,,38.850598,-97.179026,350,12.9,823,2,3,75.25,74.7,74.72,75.65,74.99,75.18,1.002533671,3758
224,227L,KANU,KANU354064,"Smith, Edward M",4012,7,5,1996,MI,Kent County,"Caledonia Twp, R10W, T5N, Sect 10, ne 1/4. Ca. 3.9 mi NNE of Caledonia, MI, Southwest corner of 68th St. and Alaska Ave",,42.839721,-85.476566,207.1,8.5,894,4,3,102.57,103.12,93.46,46.16,98.02,74.64,0.76147725,4877.23
225,229L,KANU,KANU00159868,"Raven, Peter H.",27233,7,26,1986,MO,Jefferson County,"6.5 mi W of DeSoto. T39N, R3E, Sec. 11, along Mammoth Creek, ca. 0.3 mi NE of its confluence with Big River",,38.125006,-90.674966,171.6,12.5,1023,3,3,103.71,120.28,83.08,90.76,93.4,105.52,1.129764454,6570.03
226,230L,KANU,KANU00159874,"Magrath, Lawrence K.",4717,8,27,1969,MO,Madison County,10 miles S and 0.3 W of Cherokee Pass on US 67,,37.366225,-90.366219,178,12.6,1154,4,4,75.2,86.48,66.07,71.33,70.64,78.91,1.11707248,3715.64
227,231L,KANU,KANU00159837,"Marsh, Dan L.",815,8,3,1958,MO,McDonald County,along Elk River near Hwy 43,,36.630665,-94.586846,232,14.3,1103,4,3,87.17,84.44,84.46,87.19,85.82,85.82,1,4909.48
228,232L,KANU,KANU00159869,"Sladewski, C.M.",W0468,6,27,1989,MO,Pulaski County,"E bank of the Big Piney River, on road to Stone Mill Spring, Sec 29, T35N, R10W",,37.734048,-92.044632,233.3,12.9,1067,6,3,105.62,100.16,96.44,86.94,101.03,93.55,0.925962585,6300.9
229,233L,KANU,KANU00159866,"Gentry, Al",484,7,11,1978,MO,St. Louis County,Rieger Rd near edge of Babler State park,,38.60519,-90.683276,192,12.3,986,4,3,96.99,50.39,101.27,103.95,99.13,77.17,0.778472713,5099.91
230,234L,KANU,KANU00004885,Wichita University,s.n.,7,29,1932,KS,Sedgwick County,,,37.653737,-97.524724,431.5,13.5,774,4,3,109.73,118.77,112.49,112.48,111.11,115.63,1.040680407,8564.73
231,235L,KANU,KANU00312009,"Freeman, Craig C.",8184,8,27,1996,KS,Shawnee County,"W 1/2 Sec 1 T12S, R16E. Tecumseh, 0.5 mi S, 0.5 mi W",,39.03705,-95.592642,271.6,12.5,896,6,3,100.72,101,110.02,106.76,105.37,103.88,0.985859353,7297.22
232,236L,KANU,KANU00004871,"Richards, E.L.",593,6,17,1958,KS,Woodson County,3.6 miles south and .4 miles east of Batesville ,,37.792328,-95.860419,302.4,13.3,978,2,2,50.09,56.84,53.03,51.54,51.56,54.19,1.051008534,1862.69
233,237L,KANU,KANU00159829,"Michaelson, Kenneth A.",224,9,22,1969,LA,Lincoln Parish,"Sugar Creek, off La. 544, 5 mi. NW of Simsboro",,32.60337,-92.827183,93.5,17.6,1355,4,3,88.26,89.56,76.76,74.53,82.51,82.05,0.994424918,4513.02
234,238L,KANU,KANU00159873,"Wilcox, D. Mark",s.n.,9,17,1972,WV,Tyler County,Along the Old State Road near Middlebourne,,39.492267,-80.903723,222.5,11.1,1101,4,3,154.13,160.65,128.85,137.09,141.49,148.87,1.052159163,14042.41
235,239L,KANU,KANU00159864,"Stephens, Steve",27065,8,10,1968,OK,Pawnee County,1 1/2 mi W Pawnee,,36.325306,-96.825948,275.1,15.1,902,4,3,65.51,64.02,66.14,72.7,65.83,68.36,1.038432326,2999.86
236,240L,KANU,KANU00159849,"McKinley, Paul O.",112,7,17,1946,OK,Payne County,2 mi. NE of Stillwater,,36.134385,-97.029414,279.8,15.3,879,2,3,83.95,47.12,76.42,83.62,80.19,65.37,0.815188926,3494.46
237,242L,KANU,KANU00159848,"Cory, V.L.",54488,5,17,1948,TX,Tarrant County,"Boaz Park, Benbrook",,32.693005,-97.452859,190.1,18.4,818,2,5,71.2,87.48,64.06,80.95,67.63,84.22,1.245305338,3796.97
238,243L,KANU,KANU00159877,"Gonsoulin, G.",1216,7,25,1969,TN,DeKalb County,ca 4.5 mi. s. of Lancaster on Tenn 141,,36.088969,-85.835878,239,14.2,1392,6,3,127.72,140.4,102.9,115.56,115.31,127.98,1.109877721,9838.25
239,244L,OKL,82446,Lindheimer,753,NA,,1849-1851,TX,,Comanche Spring; New Braunfels,,29.741807,-98.472327,333.4,19.5,842,1,5,52.15,67.37,53.4,72.61,52.78,69.99,1.326070481,2462.48
240,245L,OKL,01 0027241,"Siegler, David S.",10706,7,3,1977,OK,Custer County,"East of Thomas, hills SW of the South Canadian River",,35.765505,-98.708867,498.2,15.1,717,6,3,78.81,74.42,83.83,40.19,81.32,57.31,0.70474668,3106.7
241,246L,OKL,01 0027124,"Hoagland, Bruce W.",AB-I402,7,26,2001,OK,Kay County,"Newkirk; 6.0 mi E & 2.5 mi N of Newkirk, OK at Newkirk Lake on the road to Cronan Park. T28N, R3E, Sec 12",,36.920584,-96.938337,323.1,14.5,884,4,3,90.1,95.46,86.81,104.66,88.46,100.06,1.131132715,5900.54
242,247L,OKL,01 0027126,"Hoagland, Bruce W.",AB-288,8,28,2001,OK,Noble County,"Perry; Lake Perry, ca. 3.0 mi W on Hwy 77 & 2.5 mi S on road NS318 of Perry, OK. T20N, R1W1, Sec 6",,36.240292,-97.334085,333.3,15.1,853,4,3,81.14,81.9,79.35,91.08,80.25,86.49,1.077757009,4626.93
243,248L,OKL,01 0027127,"Hoagland, Bruce W.",HUGO406,6,19,2001,OK,Choctaw County,"Hugo; Ca. 6.0 mi E & 2.0 mi N of Hugo, OK on N Rd 4285 at Kiamichi Park. T6S, R18E, Sec. 16",,34.023044,-95.408719,134,17,1185,5,3,130.47,127.28,119.51,117.01,124.99,122.15,0.977278182,10177.94
244,249L,OKL,01 0027128,"Watkins, Brad",81-00,8,7,2000,OK,Washita County,"Colony; 3.0 mi S of Colony, OK at Buck Creek. T10N, R14W, Sec. 26",,35.307729,-98.680577,452.1,15.6,727,5,3,67.98,84.64,72.36,71.96,70.17,78.3,1.115861479,3662.87
245,250L,OKL,189488,"Johnson, F.L.",CAM0280,7,10,1991,KY,Christian County,1 km N of Range 31 on Patton Rd.,,36.674029,-87.681474,173,14.1,1269,6,4,41.19,38.97,29.84,38.78,35.52,38.88,1.094594595,920.43
246,253L,OKL,234733,,BUL 831,6,14,1995,TX,Bexar County,Camp Bullis (map on specimen sheet),,29.709838,-98.576443,413.6,19.2,838,2,4,59.85,68.36,51.33,58.72,55.59,63.54,1.143011333,2354.79
247,254L,OKL,234734,,BUL 208,5,27,1994,TX,Bexar County,Camp Bullis (map on specimen sheet),,29.736602,-98.604183,393.2,19.3,833,2,4,64.81,73.26,68.32,84.64,66.57,78.95,1.185969656,3503.54
248,255L,OKL,234815,,BUL 695,6,,1995,TX,Bexar County,Camp Bullis (map on specimen sheet),,29.710275,-98.567071,412,19.2,838,1,5,53.27,80.45,50.77,79.28,52.02,79.87,1.535371011,2769.72
249,256L,OKL,01 0099283,"Hoagland, Bruce W.",CTH-442,7,19,2006,OK,Leflore County,"Camp Tom Hale Boy Scout Reservation; ca. 9.0 mi due E & 1 mi S of Talihina, OK. T3N, R23E, Sec. 16",,34.737315,-94.889249,281.2,15.8,1269,5,3,90.46,111.32,101.01,100.46,95.74,105.89,1.106016294,6758.25
250,257L,OKL,01 0027301,"Buthod, Amy",AB-3897,7,17,2003,OK,Ottawa County,"Grove; ca. 7.2 mi NE of Grove, OK at the Cherokee Boy Scout Camp. T26N, R23 EE, Sec. 33",,36.685515,-94.706676,300.6,14.3,1106,4,3,110.07,109.08,82.44,81.92,96.26,95.5,0.992104716,6128.24
251,258L,OKL,01 0027300,"Bebb, Robert",4180,5,27,1939,OK,Murray County,"Canyon bottom, Arbuckle Mountains",,34.438327,-97.049844,274.4,16.4,926,2,3,74.24,91.84,71.42,87.16,72.83,89.5,1.228889194,4345.52
252,259L,OKL,01 0027303,"Goodman, George J",5683,6,23,1953,OK,Love County,2 mi. SW of Bomar,,33.838363,-97.152281,239,17.3,921,2,3,46.72,55.02,47.07,44.34,46.9,49.68,1.059275053,1553.16
253,260L,OKL,01 0027302,"Hopkins, Milton",3424,5,22,1938,OK,Love County,"Flood plain of Red River, 4 mi S of Thackerville",,33.729356,-97.142276,211.1,17.5,916,3,4,61.44,66.33,61.92,76.02,61.68,71.18,1.154020752,2926.72
254,262L,OKL,01 0084084,"Howard, Julian G.",4,5,5,1934,OK,Stephens County,Near Marlow,,34.643332,-97.958911,396,16.3,850,4,3,51.25,53.34,55.14,60.67,53.2,57.01,1.071616541,2021.59
255,263L,OKL,01 0027234,"Zanoni, T.A.",3232,8,27,1977,OK,Canadian County,"Devils Canyon; R19W, T11N, Sect. 18 [actually Washita co, acc. To township information; lat/long derived from twp]",,35.425881,-99.241625,544.2,15.3,682,4,3,109.89,116.41,111.58,110.62,110.74,113.52,1.025103847,8380.06
256,265L,OKL,01 0027240,"Zanoni, T.A.",3907,7,10,1978,OK,Murray County,"Cowpen Creek, below dam and toward Honey Creek, near Turner Falls Park. R1E, T1S, Sec 26 NW 1/4",,34.432045,-97.158814,328.3,16.4,923,2,3,74.17,85.77,60.53,73.89,67.35,79.83,1.185300668,3584.37
257,266L,OKL,01 0027232,"Scott, Rosser A.",73,7,4,1946,OK,Tulsa County,2 mi. S of Broken Arrow,,36.023425,-95.791137,207.3,15.2,1020,3,4,103.95,112.88,90.49,102.56,97.22,107.72,1.108002469,6981.69
258,267L,OKL,01 0027120,"Hopkins, Milton",3945,5,3,1939,OK,Murray County,"Near Davis, floodplains of Honey Creek, Arbuckle Mts",,34.476755,-97.139544,237.1,16.5,910,3,3,52.05,61.22,54.41,56.37,53.23,58.8,1.10464024,2086.44
259,268L,OKL,01 0027118,"Benesh, D.",E187,6,10,1998,OK,Coal County,"Coalgate Res., below dam, S11, T1N, R10E",,34.564975,-96.216198,195,16.3,1048,2,4,71.84,91.32,67.96,86.54,69.9,88.93,1.272246066,4144.14
260,269L,OKL,01 0027224,"Waterfall, U.T.",2937,7,4,1991,OK,Comanche County,"Medicine Park, Wichita Mts.",,34.729236,-98.502588,387.6,16,759,3,3,87.07,86.9,72.8,72.7,79.94,79.8,0.998248687,4252.54
261,270L,OKL,01 0027115,"Becker, G.",5303,7,13,1940,OK,Murray County,"center Scott's dome, adjacent to old asphalt mine, Violoa ls. Formation, Arbuckle Mts.",,34.38568,-97.075723,317.2,16.6,916,4,3,70.63,70.52,66.81,63.66,68.72,67.09,0.976280559,3073.62
262,271L,OKL,01 0027248,"Shed, John",217,6,22,1961,OK,Marshall County,"Tishimingo Wildlife Preserve, at west end.",,34.189514,-96.683421,190,17,994,1,1,70.42,75.4,63.22,68.89,66.82,72.15,1.079766537,3213.82
263,272L,OKL,01 0027218,"Shirley, J. Clifford",1003,9,26,1932,OK,Leflore County,"near Arkansas-Oklahoma state line, W of Ft. Smith, Highway 271",,35.289633,-94.44479,158.2,16,1104,4,3,87.91,84.04,101.39,98.27,94.65,91.16,0.963127311,5751.88
264,273L,OKL,01 0027221,"Hopkins, Milton",1119,5,5,1945,OK,Atoka County,15 miles south of Atoka,,34.183264,-96.243469,197.1,16.6,1067,4,3,73.47,80.82,69.6,66.86,71.54,73.84,1.032149846,3521.43
265,274L,OKL,01 0050541,"Hoagland, Bruce W.",WAS-065,7,23,2002,OK,Roger Mills County,"Washita Battlefield National Historic Site: Trailhead. T13N, R24W, Sec. 12",,35.617855,-99.699947,603.7,14.9,610,4,3,53.7,46.8,52.31,47.86,53.01,47.33,0.892850406,1672.48
266,275L,OKL,01 0027278,"Goodman, George J",2535,5,3,1935,OK,Leflore County,Pine Valley,,34.663396,-94.759056,229.6,15.6,1288,2,4,65.86,68.96,51.37,52,58.62,60.48,1.031729785,2363.36
267,276L,OKL,01 0027310,"Folley, P.",PON0323,7,18,1997,OK,Pontotoc County,"Pontotoc Ridge Preserve, Sec31 T1N, R7E",,34.548395,-96.566215,271.4,16.2,1005,2,4,72.52,102.31,76.15,89.34,74.34,95.83,1.289077213,4748.77
268,277L,OKL,01 0027314,"Hoagland, Bruce W.",020-98,6,11,1998,OK,Lincoln County,"Chandler, 7 mile north on Hwy 18 from intersection with Hwy 66 on Dry Creek (T15N, R4E, Sec. 4)",,35.798927,-96.876517,259,15.6,895,5,3,95.92,96.73,86.95,88.78,91.44,92.76,1.014435696,5654.04
269,278L,OKL,01 0050632,"Buthod, Amy",AB-6279,9,1,2004,OK,Canadian County,"Oklahoma City at Camp Kickapoo Boy Scout Camp. T10N, R4W, Sec. 18",,35.349965,-97.672431,406.3,15.7,854,2,4,64.85,79.89,59.88,73.34,62.37,76.62,1.228475228,3185.4
270,279L,OKL,01 0027210,"Little, Elbert L. Jr.",36347,10,29,1980,OK,Stephens County,"Valley forest of Celtis, Ulmus, Carya; Little Beaver Creek, 8 mi. W of Duncan. Sec. 2, T1S, R9W.",,34.507308,-98.104224,310.7,16.6,824,5,3,97.31,98.44,86.42,90.22,91.87,94.33,1.026776967,5777.08
271,280L,OKL,01 0037136,"Buthod, Amy",AB-2581,8,8,2002,OK,Kay County,"Ponca City at Ponca City Lake. T26N, R2E, Sec. 13",,36.73159,-97.037653,306.5,14.8,879,3,3,71.73,77.68,73.32,79.32,72.53,78.5,1.082310768,3795.48
272,281L,OKL,01 0051623,"Little, Elbert L. Jr.",38341,6,19,1985,OK,Kiowa County,Great Plains State Park,,34.766288,-98.96044,432,16,596,3,3,66.01,74.17,63.68,65.58,64.85,69.88,1.077563608,3020.7
273,282L,OKL,01 0057571,"Wallis, Charles S.",8763,7,4,1963,OK,Ottawa County,"Lost Creek, 1 mi. E of Wyandotte on State 10.",,36.802133,-94.701236,233.1,14.3,1095,4,3,70.3,69.73,68.86,67,69.58,68.37,0.982609945,3171.22
274,283L,OKL,01 0027264,"Hutcheson, H.L.",106,7,31,1963,OK,Carter County,"3 mi. N of Springer, sec. 30, T2S, R2E",,34.349304,-97.140705,313.6,16.4,922,2,4,70.45,85.29,66.53,71.14,68.49,78.22,1.142064535,3571.3
275,284L,OKL,01 0027269,"Gowan, R.L.",53,4,10,30,OK,Cleveland County,6 mi. East of Norman,,35.232606,-97.335485,349.5,16.1,890,4,3,65.91,64.96,64.07,63.09,64.99,64.03,0.985228497,2773.99
276,285L,OKL,01 0027261,"Broadbent, Harry",45,7,13,1939,OK,Murray County,Sulphur,,34.504124,-96.968134,290.5,16.1,955,3,2,87.76,88.73,84.49,83.25,86.13,85.99,0.99837455,4937.26
277,286L,OKL,01 0027263,"Little, Elbert L. Jr.",40235,6,10,1987,OK,Carter County,"Lake Murray State Park, 10 km SE of Ardmore",,34.091115,-97.09801,228,17.1,918,2,4,59.69,70.74,55.99,67.35,57.84,69.05,1.193810512,2662.38
278,287L,OKL,01 0027187,"Hall, M.J.",17,5,8,1942,OK,Murray County,Below Prices Falls,,34.426411,-97.106848,243.6,16.5,914,3,4,56.55,63.51,57.63,62.18,57.09,62.85,1.100893326,2391.88
279,288L,OKL,01 0096334,"Edwards, Aaron",253,6,14,1997,OK,Latamer County,"San Bois Mountains, R20E, T7N, Sec. 22 [noted as Latamer [sic] County on specimen sheet]",,35.060325,-95.177188,191,16.1,1187,4,3,111.65,99.23,89.73,82.39,100.69,90.81,0.901877048,6095.77
280,289L,OKL,01 0027316,"Hoagland, Bruce W.",051-98,6,11,1998,OK,Pawnee County,"Hallet, 1.7 north on US 99 from intersection with US 412 (T21N, R7E, Sec. 28)",,36.245222,-96.568097,258.4,15.2,929,4,3,92.85,98.18,101.15,101.74,97,99.96,1.030515464,6464.08
281,290L,OKL,01 0027271,"Pearce, Robert",931,7,12,1963,OK,Grady County,"Prairie Creek, 3 miles southeast, 7 miles north and 3.3 miles west of Bradley",check location,34.64332,-97.706049,339.2,16.2,889,4,3,64.66,68.22,64.84,63.08,64.75,65.65,1.013899614,2833.89
282,291L,OKL,01 0057575,"Hoagland, Bruce W.",0426-98,9,16,1998,OK,Nowata County,"Lenapah; 4.5 miles east on Hwy 10 from Hwy 169 and 10 intersection. Near confluence of Fool Creek and Verdigris River (T27N, R16E, Sec. 1)",,36.850225,-95.549884,201.8,14.6,1022,4,3,75.73,64.85,71.49,68.77,73.61,66.81,0.907621247,3278.59
283,292L,OKL,01 0051622,"Little, Elbert L. Jr.",38349,6,19,1985,OK,Kiowa County,Great Plains State Park,,34.766288,-98.96044,432,16,596,5,3,100.76,108.98,89.65,96.33,95.21,102.66,1.078248083,6515.51
284,293L,OKL,01 0027153,"Bebb, Robert",5277,5,20,1940,OK,Cherokee County,,,35.897757,-94.977863,224.9,15.3,1136,4,3,94.4,99.78,78.17,84.34,86.29,92.06,1.06686754,5295.6
285,294L,OKL,01 0027158,"Shed, John",76,6,12,1961,OK,Marshall County,1 mile North of Shay,,33.942014,-96.764328,243.3,17.2,986,3,3,79.43,93.76,79.42,91.12,79.43,92.44,1.163792018,4894.7
286,295L,OKL,82461,Bishop,s.n.,7,20,1940,AR,,Maynard,,36.419785,-90.897344,116.1,14.1,1211,3,4,99.74,111.3,76.51,81.76,88.13,96.53,1.095313741,5671.14
287,296L,OKL,82494,"Nixon, E.S.",4678,5,17,1972,TX,Madison County,About 1 mi. NW and W of the intersection of Hwy 21 and Trinity River.,,31.083488,-95.712635,48,19.3,1054,3,3,66.52,74.4,60.06,70.4,63.29,72.4,1.143940591,3054.8
288,297L,OKL,82497,"Siegler, David S.",5065,8,12,1971,IL,,"4 miles north of Kickapoo State Park, on Middle Vermilion River.",,40.171894,-87.73649,173.8,10.6,982,5,3,68.59,79.54,59.47,69.64,64.03,74.59,1.164922692,3184
289,298L,OKL,82364,"Goodman, George J",5574,7,31,1952,OK,Ottawa County,Southeast of Peoria near state highway 10.,,36.87163,-94.622976,303.1,14,1099,4,4,72.73,76.32,71.35,69.44,72.04,72.88,1.011660189,3500.18
290,299L,OKL,01 0027194,"Waterfall, U.T.",3042,7,20,1941,OK,Oklahoma County,"6 mi. W and 2 1/2 north of Edmond, along creek bottom through prairie",,35.682052,-97.585125,316.5,15.6,826,4,3,70.95,68.26,62.12,55.66,66.54,61.96,0.931169222,2748.34
291,300L,OKL,01 0027174,"Little, Elbert L. Jr.",36661,4,26,1981,OK,Cherokee County,"Group camp, 3 mi. N of lodge, upland. Sequoyah State Park, on E side of Ft. Gibson Reservoir, 6 mi. W of Hubert.",,35.929553,-95.249353,190.8,15.6,1098,4,3,80.19,86.08,69.2,74.48,74.7,80.28,1.074698795,3997.68
292,301L,OKL,01 0027175,"Springer, Tim",69,6,5,1975,OK,Woods County,"NE 1/4 of NWOSU Campus, Alva, OK",,36.797354,-98.670057,423.3,14.6,664,3,3,74.6,80.47,72.29,79.85,73.45,80.16,1.091354663,3924.9
293,302L,OKL,01 0027293,"Nelson, Aven",5806,5,8,1948,OK,Murray County,"Pontotoc Conglomerate, Arbuckles.",,34.438327,-97.049844,274.4,16.4,926,3,4,73.04,75.48,64.77,77.29,68.91,76.39,1.108547381,3508.87
294,303L,OKL,01 0027291,"Little, Elbert L. Jr.",173,4,,1928,OK,Cherokee County,near Talequah,,35.91537,-94.969956,243.2,15.3,1136,2,4,70.88,93.04,70.02,85.46,70.45,89.25,1.266855926,4191.78
295,304L,OKL,01 0098145,"Hoagland, Bruce W.",OBG-208,5,15,2007,OK,Osage County,"NW of Tulsa at the future site of the Oklahoma Centennial Botanical Garden. T20N, r12E, Sec. 18",,36.206813,-96.062269,274.5,15,984,6,2,132.6,122.7,102.45,96.96,117.53,109.83,0.934484812,8605.18
296,305L,OKL,01 0027133,"Felkner, William O.",9,11,5,1934,OK,Grady County,"Blanchard, creek north of Blanchard",,35.176314,-97.653271,359,16.1,866,6,3,96.27,80.6,95.01,85.71,95.64,83.16,0.869510665,5301.96
297,306L,OKL,01 0027134,"Pearce, Robert",750,6,12,1963,OK,Grady County,"2 miles northeast, 2 miles north, 1 mile west, 1 mile north, and 0.5 mile west of Bradley",,34.900206,-97.69571,305,16.4,874,3,4,53.33,62.61,54.51,60.2,53.92,61.41,1.138909496,2207.31
298,307L,OKL,01 0027136,"Zanoni, T.A.",4299,9,18,1978,OK,Cotton County,"West Cache Creek, 3.5 mi E of Cookietown on SH 5A at West Cache Creek. T03SR11WS30",,34.274875,-98.388107,286.6,17.1,781,4,4,94.82,112.58,71.8,87.49,83.31,100.04,1.200816229,5555.94
299,308L,OKL,01 0027137,"Little, Elbert L. Jr.",36297,5,8,1980,OK,Murray County,Arbuckle Mts. SE of Turner Falls,,34.431702,-97.128267,320.9,16.4,923,2,4,62.41,81.06,68.78,87.06,65.6,84.06,1.281402439,3675.94
300,309L,OKL,01 0027132,"Stevens, G.W.",869,6,11,1913,OK,Dewey County,Canton,duplicate,36.053535,-98.588519,482,14.7,699,4,3,52.89,58.75,48.48,57.68,50.69,58.22,1.14855001,1967.08
301,310L,OKL,198573,"Hoagland, Bruce W.",ABR0250,6,10,1994,MD,Harford County,2 km N of Churchville.,,39.575875,-76.257845,97.8,12,1132,4,3,77.07,82.44,64.92,71.66,71,77.05,1.085211268,3646.78
302,311L,OKL,82458,"Hall, Marion T.",s.n.,9,28/29,1954,MO,Franklin County,"Missouri Botanical Garden Arboretum, Gray Summit. (found in old field near orchid greenhouses; doesn't sound like it was cultivated)",,38.474022,-90.824033,184,12.5,990,4,3,75.11,76.03,58.25,64.96,66.68,70.5,1.057288542,3133.74
303,312L,OKL,197545,"Benesh, D. L.",HIL0438,6,20,1994,VA,Caroline County,"Training Area 16A, 1 km W of Skinker's Corner.",,38.210834,-77.288628,41,13.6,1042,4,3,89.44,106.44,103.36,126.06,96.4,116.25,1.205912863,7471
304,313L,OKL,82450,"Boon, Effie",s.n.,8,15,1934,TX,Angelina County,Lufkin,,31.338241,-94.729097,95,18.7,1152,6,3,77.78,69.65,77.04,74.72,77.41,72.19,0.932566852,3725.23
305,314L,OKL,82454,"Bebb, Robert",2476,5,6,1905,TX,Dallas County,,,32.802955,-96.769923,154,18.5,934,2,3,62.86,74.87,61.35,64.24,62.11,69.56,1.119948479,2879.81
306,315L,OKL,82453,"Bebb, Robert",2475,5,6,1905,TX,,Dallas,,32.802955,-96.769923,154,18.5,934,2,3,56.74,73.46,64.04,67.42,60.39,70.44,1.166418281,2835.91
307,316L,OKL,82454,"Gupton, O.W.",3166,7,1,1967,VA,Rockbridge County,6 miles north of Lexington on US 39,,37.855946,-79.398398,341.2,12.1,1034,4,4,85.27,85.88,71.45,71.58,78.36,78.73,1.004721797,4112.86
308,317L,OKL,195278,"Farmer, Susan B.",93-9502,7,26,1993,TN,Knox County,Yard at 917 Danville Circle off Fox Lonas Rd,,35.937493,-84.080542,288.2,14,1315,4,2,84.42,76.91,75.69,75.39,80.06,76.15,0.951161629,4064.13
309,319L,OKL,01 0027182,"Abernathy, Corinne",58,9,24,1934,OK,Payne County,5 mi. E of Stillwater,,36.116583,-96.961862,295.3,15.3,885,2,3,57.49,62.07,77.94,73.53,67.72,67.8,1.001181335,3060.72
310,320L,OKL,01 0027208,"Benesh, D.",E170,6,10,1998,OK,Pushmataha County,"SW Pushmataha Co., S18, T4S, R15E",,34.164699,-95.771323,159.6,16.7,1135,4,3,87.64,93.36,91.25,83.25,89.45,88.31,0.98725545,5265.63
311,321L,OKL,01 0027202,"Hoagland, Bruce W.",LV121,5,27,1997,OK,Love County,"Love Valley WMA, Sec. 26, T8S, R2E",,33.835786,-97.069707,192.2,17.4,926,4,4,63.02,72.53,60.34,75.29,61.68,73.91,1.198281453,3039.18
312,322L,OKL,01 0027203,"Smith, P.",LV301,7,29,1997,OK,Love County,"Love Valley WMA, Sec. 31, T9S, R2E",,33.818671,-97.135884,262,17.3,926,4,3,68.77,84.17,62.98,69.21,65.88,76.69,1.164086217,3367.97
313,323L,OKL,01 0027295,"Dale, Edward E.",585,5,9,1942,OK,Murray County,near Cowpen Canyon; Franks Conglomerate,,34.430853,-97.193401,380.8,16.1,935,1,3,67.66,82,55.39,67.56,61.53,74.78,1.21534211,3067.23
314,324L,OKL,01 0027183,"McGlamery, Herbert",38,7,8,1937,OK,Payne County,"creek bank, 1 mi. NE of Stillwater",,36.124912,-97.052416,266,15.3,872,4,4,99.81,108.18,91.04,95.15,95.43,101.67,1.065388243,6467.59
315,325L,OKL,01 0027176,"Wallis, Charles S.",3141,6,2,1956,OK,Ottawa County,3 mi. E of Grove & 8.9 mi N on State 10,,36.720202,-94.730975,229.8,14.4,1095,4,3,103.26,95.76,76.02,78.08,89.64,86.92,0.969656403,5194.34
316,326L,OKL,01 0027177,"Wallis, Charles S.",3110,6,2,1956,OK,Delaware County,8.9 mi N of Little Kansas on State 10,,36.325287,-94.781357,311,14.9,1141,4,3,90.55,91.73,98,101.04,94.28,96.39,1.022380144,6057.8
317,327L,OKL,01 0027178,"Wallis, Charles S. (probably; not noted on label but label matches others written by Wallis)",125,8,14,1950,OK,Cherokee County,Keyough Bluffs 2 mi. N Ft. Gibson,,35.824113,-95.252728,151,15.7,1089,4,3,71.95,75.62,66.97,81.36,69.46,78.49,1.130002879,3634.61
318,328L,OKL,01 0027179,"Cross, Frank B.",70,7,7,1946,OK,Payne County,8 mi. SE of Stillwater,,36.044555,-96.945867,252.5,15.4,887,4,3,83.35,79.45,73.77,75.04,78.56,77.25,0.983324847,4045.58
319,329L,OKL,01 0027180,"McGlamery, Herbert",38,7,8,1937,OK,Payne County,1 mi. NE of Stillwater,duplicate,36.133177,-97.022189,263.3,15.3,879,3,3,68.72,71.74,69.7,67.26,69.21,69.5,1.004190146,3206.73
320,330L,OKL,01 0027340,"Goodman, George J",6316,7,3,1956,OK,Marshall County,1 mi. N. of Univ. of Okla. Biological Sta.,,33.8938,-96.805226,193.6,17.4,969,3,4,74.51,94.97,66.81,87.69,70.66,91.33,1.292527597,4302.25
321,331L,OKL,01 0027335,"Hopkins, Milton",4854,5,9,1940,OK,Carter County,"Arbuckle formation 6 mi. s. Turner Falls, Arbuckle Mts",,34.342863,-97.142942,283,16.4,922,2,4,74.74,92.26,68.27,76.91,71.51,84.59,1.182911481,4032.17
322,332L,OKL,01 0027336,"Hopkins, Milton",4768,5,9,1940,OK,Murray County,"Viola ls. Formation, Arbuckle Mts.",,34.431834,-97.182574,367.7,16.1,935,2,5,58.93,80.09,57.03,71.59,57.98,75.84,1.308037254,2931.47
323,333L,OKL,01 0027337,"Hopkins, Milton",3930,5,3,1939,OK,Murray County,"Near Davis, flood plains of Honey Creek, Arbuckle Mt.",,34.505259,-97.141794,238.5,16.5,912,2,4,48.64,69.8,49.73,34.18,49.19,51.99,1.056922139,1704.75
324,334L,OKL,01 0027349,"Goodman, George J",6930,7,23,1959,OK,Johnston County,"base of Baum Limestone mesa, 6 miles west of Ravia",,34.212542,-96.845985,206.7,16.9,954,2,4,79.93,50.95,68.06,90.34,74,70.65,0.95472973,3484.92
